No;Parcela;DAP;AB.m;Biomasa;AB.ha;Biomasa.ha
3;1A;4,042535555;0,001283505;3,208073481;0,128350504;320,8073481
5;1A;2,005352283;0,000315843;0,567434595;0,031584298;56,74345955
7;1A;3,819718634;0,001145916;2,788702408;0,114591559;278,8702408
13;1A;2,832957987;0,000630333;1,332563824;0,063033315;133,2563824
20;1A;2,037183272;0,000325949;0,589951118;0,032594932;58,99511179
22;1A;4,456338407;0,001559718;4,081574133;0,155971844;408,1574133
23;1A;4,870141259;0,001862829;5,082973415;0,186282903;508,2973415
25;1A;2,641972055;0,000548209;1,121469015;0,05482092;112,1469015
29;1A;2,037183272;0,000325949;0,589951118;0,032594932;58,99511179
31;1A;3,023943919;0,000718187;1,565670401;0,071818668;156,5670401
33;1A;2,06901426;0,000336215;0,612991168;0,033621482;61,29911676
35;1A;3,9152116;0,001203928;2,964154545;0,120392757;296,4154545
37;1A;4,233521486;0,001407646;3,595693935;0,140764589;359,5693935
39;1A;2,960281942;0,000688266;1,485479554;0,068826555;148,5479554
41;1A;9,326479665;0,006831646;25,31484092;0,136632927;506,2968184
43;1A;2,228169203;0,00038993;0,73617755;0,038992961;73,61775504
45;1A;21,70873424;0,037013392;204,1862544;0,740267838;4083,725088
47;1A;4,488169395;0,00158208;4,153992806;0,158207971;415,3992806
49;1A;1,84619734;0,000267699;0,462568319;0,026769861;46,25683189
51;1A;4,13802852;0,001344859;3,398594391;0,134485927;339,8594391
54;1A;4,965634224;0,001936597;5,332811038;0,193659735;533,2811038
58;1A;4,679155327;0,00171959;4,604542087;0,171958958;460,4542087
63;1A;3,819718634;0,001145916;2,788702408;0,114591559;278,8702408
65;1A;3,501408748;0,000962887;2,249192557;0,096288741;224,9192557
69;1A;2,005352283;0,000315843;0,567434595;0,031584298;56,74345955
71;1A;1,591549431;0,000198944;0,320553257;0,019894368;32,05532566
73;1A;1,496056465;0,000175787;0,275105403;0,017578663;27,51054029
75;1A;14,41943784;0,016330013;74,29574978;0,326600267;1485,914996
87;1A;1,878028328;0,000277009;0,482525904;0,027700918;48,25259045
88;1A;4,520000384;0,0016046;4,227170953;0,160460014;422,7170953
89;1A;2,005352283;0,000315843;0,567434595;0,031584298;56,74345955
90;1A;1,336901522;0,000140375;0,208350386;0,014037466;20,8350386
91;1A;5,092958179;0,002037183;5,677090139;0,040743665;113,5418028
93;1A;3,023943919;0,000718187;1,565670401;0,071818668;156,5670401
94;1A;1,750704374;0,000240722;0,405678058;0,024072185;40,56780579
95;1A;1,050422624;8,66599E-05;0,11481358;0,008665987;11,48135798
107;1A;2,76929601;0,000602322;1,259787764;0,060232188;125,9787764
108;1A;41,22113026;0,133453409;995,781172;2,669068184;19915,62344
109;1A;13,05070533;0,013376973;58,06764628;0,267539459;1161,352926
110;1A;1,814366351;0,000258547;0,443110541;0,025854721;44,31105406
111;1A;3,978873577;0,001243398;3,084678844;0,124339799;308,4678844
112;1A;18,52563538;0,026954799;137,9971152;0,539095989;2759,942305
113;1A;8,307888029;0,005420897;19,02234291;0,108417939;380,4468582
114;1A;1,241408556;0,000121037;0,173486608;0,012103733;17,34866083
115;1A;1,14591559;0,000103132;0,142353711;0,01031324;14,23537106
67I;1A;3,055774907;0,000733386;1,606710122;0,073338598;160,6710122
67II;1A;1,973521294;0,000305896;0,545437731;0,03058958;54,54377313
1;1B;7,543944303;0,004469787;14,98816535;0,08939574;299,7633071
2;1B;9,994930426;0,00784602;30,03713269;0,156920408;600,7426539
4;1B;11,4591559;0,01031324;42,10840508;0,206264806;842,1681015
6;1B;14,00563499;0,015406198;69,1380102;0,30812397;1382,760204
8;1B;25,56028386;0,05131227;305,7013982;1,026245397;6114,027964
9;1B;5,952394872;0,002782745;8,345760595;0,055654892;166,9152119
10;1B;11,17267701;0,009804024;39,55480042;0,196080481;791,0960083
11;1B;8,244226052;0,005338136;18,66418497;0,106762727;373,2836993
12;1B;10,3450713;0,00840537;32,70461927;0,168107409;654,0923854
14;1B;15,82000134;0,019656352;93,42044879;0,393127033;1868,408976
15;1B;5,252113122;0,002166497;6,125593015;0,043329933;122,5118603
16;1B;15,05605762;0,017803788;82,66605097;0,356075763;1653,321019
17;1B;17,63436769;0,024423599;122,1681342;0,488471985;2443,362685
18;1B;16,29746617;0,020860757;100,5428951;0,417215134;2010,857901
